"symbol","date","open","high","low","close","volume","adjusted"
"Corn",2015-01-02,397,397,392,395.75,119262,395.75
"Corn",2015-01-05,402,406.5,402,406,88774,406
"Corn",2015-01-06,407.5,408.5,402.5,405,140391,405
"Corn",2015-01-07,403.75,403.75,395.75,396.25,138314,396.25
"Corn",2015-01-08,395.75,397,393.75,394.25,131694,394.25
"Corn",2015-01-09,397,400.75,395.25,400.25,118969,400.25
"Corn",2015-01-12,396.75,405.5,392,402,154553,402
"Corn",2015-01-13,406,406.25,385.5,385.75,269589,385.75
"Corn",2015-01-14,380.25,382.25,376.5,381,250523,381
"Corn",2015-01-15,387.25,387.25,378.25,380,236408,380
"Corn",2015-01-16,381.5,387.75,381.5,387,189766,387
"Corn",2015-01-20,383.5,390.75,383.5,390.25,142829,390.25
"Corn",2015-01-21,389.75,390,386.25,388,138122,388
"Corn",2015-01-22,389.25,389.25,383,383.75,114626,383.75
"Corn",2015-01-23,384.5,388.25,383.25,386.75,139782,386.75
"Corn",2015-01-26,384,385,383,384,169566,384
"Corn",2015-01-27,385,385,380.75,381.25,102852,381.25
"Corn",2015-01-28,380,380,373,373.25,108698,373.25
"Corn",2015-01-29,371.5,373,368.5,371.5,167615,371.5
"Corn",2015-01-30,371.25,371.25,366,370,192836,370
"Corn",2015-02-02,371.5,374.75,369.5,369.75,194631,369.75
"Corn",2015-02-03,374.5,386.75,373,385.75,154763,385.75
"Corn",2015-02-04,383,384,380.5,383.5,238534,383.5
"Corn",2015-02-05,385.25,386.5,382.75,385.25,178698,385.25
"Corn",2015-02-06,386.5,386.5,380.5,385.75,136397,385.75
"Corn",2015-02-09,384.5,391.75,384.25,391.25,202343,391.25
"Corn",2015-02-10,389.75,390.25,385.25,388,217638,388
"Corn",2015-02-11,385.75,389,384.25,385.75,209348,385.75
"Corn",2015-02-12,385.75,385.75,382,383,178879,383
"Corn",2015-02-13,384.75,388,383,387.25,169376,387.25
"Corn",2015-02-17,390,390,385.5,389.5,167269,389.5
"Corn",2015-02-18,387,387.5,383.25,383.75,164635,383.75
"Corn",2015-02-19,383,390.5,383,389.75,162322,389.75
"Corn",2015-02-20,389,389,384,385.25,176132,385.25
"Corn",2015-02-23,385,385.5,378.25,378.75,131258,378.75
"Corn",2015-02-24,380.75,384.5,377.75,377.5,142798,377.5
"Corn",2015-02-25,376.75,376.75,372.5,375.75,207228,375.75
"Corn",2015-02-26,378,381.25,377,380,115836,380
"Corn",2015-02-27,380,386.25,378.5,384.5,95565,384.5
"Corn",2015-03-02,382.25,382.25,378.5,378.75,35368,378.75
"Corn",2015-03-03,382.5,382.5,382,382,16974,382
"Corn",2015-03-04,381.25,382,381.25,381.5,13906,381.5
"Corn",2015-03-05,380.75,380.75,380.75,382.75,10629,382.75
"Corn",2015-03-06,377.5,377.5,377.5,379.25,6365,379.25
"Corn",2015-03-09,382.75,383.25,382.75,383.25,4631,383.25
"Corn",2015-03-10,382.25,382.25,382.25,382.25,1898,382.25
"Corn",2015-03-11,384,384,384,384,4126,384
"Corn",2015-03-12,382.25,382.25,382.25,382.25,1609,382.25
"Corn",2015-03-13,374,374,374,374,1241,374
"Corn",2015-03-16,380,381.5,376,379,155266,379
"Corn",2015-03-17,377,377,370,371,145231,371
"Corn",2015-03-18,373.25,375,368.25,374.75,175673,374.75
"Corn",2015-03-19,374.75,375,370.75,373.5,146488,373.5
"Corn",2015-03-20,376.5,385.75,376.5,385,152285,385
"Corn",2015-03-23,389.25,390.5,388.5,390.25,211230,390.25
"Corn",2015-03-24,390,393.5,389.25,393.25,160884,393.25
"Corn",2015-03-25,393.5,395.5,392.75,395,135276,395
"Corn",2015-03-26,394.25,395.75,390,391.25,150274,391.25
"Corn",2015-03-27,390.5,391.5,389.5,391,156056,391
"Corn",2015-03-30,391.25,394.75,391.25,394.5,136749,394.5
"Corn",2015-03-31,393,398,375.25,376.25,175824,376.25
"Corn",2015-04-01,377,382.25,374.25,381.75,349246,381.75
"Corn",2015-04-02,378.75,387.75,378.75,386.5,221060,386.5
"Corn",2015-04-06,388,388,384,385,177882,385
"Corn",2015-04-07,384.25,384.25,382,383,84776,383
"Corn",2015-04-08,383.5,383.5,377.25,379.25,99163,379.25
"Corn",2015-04-09,378,378.25,375.5,378,214355,378
